广东,#genre#
广东卫视,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001337/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
广东卫视,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001031/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
广东卫视,http://[2409:8087:2001:20:2800:0:df6e:eb0a]:80/wh7f454c46tw2172536660_1354602564/ott.mobaibox.com/PLTV/3/224/3221227399/index.m3u8?icpid=3&RTS=1674386582&from=40&popid=40&hms_devid=2038&prioritypopid=40&vqe=3
广东卫视,http://php.jdshipin.com:8880/chudian.php?id=gdws
广东卫视,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/wh7f454c46tw201699374_1286689762/ott.mobaibox.com/PLTV/3/224/3221228312/index.m3u8?icpid=3&RTS=1674380317&from=40&popid=40&hms_devid=2291&prioritypopid=40&vqe=3
广东卫视,http://[2409:8087:2001:20:2800:0:df6e:eb03]:80/wh7f454c46tw201843385_424516234/ott.mobaibox.com/PLTV/3/224/3221227476/index.m3u8?icpid=3&RTS=1674380317&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
广东卫视,http://[2409:8087:2001:20:2800:0:df6e:eb03]/wh7f454c46tw2917484419_1632335828/ott.mobaibox.com/PLTV/3/224/3221227476/index.m3u8?icpid=3&RTS=1668597711&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3



广东卫视,http://119.131.240.107:8000/udp/239.77.1.19:5146
广东卫视,http://119.131.240.107:8000/udp/239.77.0.84:5146
广东影视,http://119.131.240.107:8000/udp/239.77.0.217:5146
广东珠江,http://119.131.240.107:8000/udp/239.77.0.1:5146
广东民生,http://119.131.240.107:8000/udp/239.77.0.225:5146
广东新闻,http://119.131.240.107:8000/udp/239.77.0.173:5146
经济科教,http://119.131.240.107:8000/udp/239.77.0.85:5146
经济科教,http://119.131.240.107:8000/udp/239.77.0.167:5146
深圳卫视,http://119.131.240.107:8000/udp/239.77.1.3:5146
深圳卫视,http://119.131.240.107:8000/udp/239.77.0.92:5146
深圳都市,http://119.131.240.107:8000/udp/239.77.1.176:5146
深圳电视剧,http://119.131.240.107:8000/udp/239.77.1.177:5146
深圳公共,http://119.131.240.107:8000/udp/239.77.1.178:5146
深圳公共,http://119.131.240.107:8000/udp/239.77.1.126:5146
深圳众创,http://119.131.240.107:8000/udp/239.77.1.247:5146
深圳龙岗,http://119.131.240.107:8000/udp/239.77.1.223:5146
广东体育,http://119.131.240.107:8000/udp/239.77.0.112:5146
广东少儿,http://119.131.240.107:8000/udp/239.77.0.250:5146
广东大湾区,http://119.131.240.107:8000/udp/239.77.0.215:5146
梅州-1,http://119.131.240.107:8000/udp/239.253.43.123:5146
梅州-2,http://119.131.240.107:8000/udp/239.253.43.124:5146
广东大湾区,http://119.131.240.107:8000/rtp/239.77.0.215:5146
广东少儿,http://119.131.240.107:8000/rtp/239.77.0.250:5146
嘉佳卡通,http://119.131.240.107:8000/rtp/239.77.0.179:5146
广州综合,http://119.131.240.107:8000/rtp/239.253.43.71:5146
广州新闻,http://119.131.240.107:8000/rtp/239.253.43.72:5146
广州影视,http://119.131.240.107:8000/rtp/239.253.43.73:5146
广州法治,http://119.131.240.107:8000/rtp/239.253.43.74:5146
深圳财经生活,http://119.131.240.107:8000/rtp/239.77.1.242:5146
深圳娱乐,http://119.131.240.107:8000/rtp/239.77.1.243:5146
深圳体育健康,http://119.131.240.107:8000/rtp/239.77.1.128:5146
深圳体育健康,http://119.131.240.107:8000/rtp/239.77.1.140:5146
深圳少儿,http://119.131.240.107:8000/rtp/239.77.1.244:5146
深圳宝安,http://119.131.240.107:8000/rtp/239.77.1.67:5146
深圳东部,http://119.131.240.107:8000/rtp/239.77.1.224:5146

广东卫视,http://116.18.36.59:8888/rtp/239.77.1.19:5146
广东卫视,http://116.18.36.59:8888/rtp/239.77.1.152:5146
广东卫视,http://116.18.36.59:8888/rtp/239.77.0.84:5146
广东影视,http://116.18.36.59:8888/rtp/239.77.0.217:5146
广东珠江,http://116.18.36.59:8888/rtp/239.77.0.1:5146
广东民生,http://116.18.36.59:8888/rtp/239.77.0.225:5146
广东新闻,http://116.18.36.59:8888/rtp/239.77.0.173:5146
经济科教,http://116.18.36.59:8888/rtp/239.77.0.85:5146
深圳卫视,https://epg.pw/stream/63ad6d916aa277f8d6f971e7b6e88b644f13ef071a93e92f83adb23e2ef09da3.m3u8
深圳卫视,http://116.18.36.59:8888/rtp/239.77.1.3:5146
深圳卫视,http://116.18.36.59:8888/rtp/239.77.1.148:5146
深圳卫视,http://116.18.36.59:8888/rtp/239.77.0.92:5146
深圳都市,http://116.18.36.59:8888/rtp/239.77.1.176:5146
深圳都市,http://116.18.36.59:8888/rtp/239.77.1.124:5146
深圳电视剧,http://116.18.36.59:8888/rtp/239.77.1.177:5146
深圳电视剧,http://116.18.36.59:8888/rtp/239.77.1.125:5146
深圳公共,http://116.18.36.59:8888/rtp/239.77.1.178:5146
深圳公共,http://116.18.36.59:8888/rtp/239.77.1.126:5146
深圳众创,http://116.18.36.59:8888/rtp/239.77.1.247:5146
深圳龙岗,http://116.18.36.59:8888/rtp/239.77.1.223:5146
广东体育,http://116.18.36.59:8888/udp/239.77.0.112:5146
广东少儿,http://116.18.36.59:8888/udp/239.77.0.250:5146
广东大湾区,http://116.18.36.59:8888/udp/239.77.0.215:5146
梅州1,http://116.18.36.59:8888/udp/239.253.43.123:5146
梅州2,http://116.18.36.59:8888/udp/239.253.43.124:5146
广东大湾区,http://116.18.36.59:8888/rtp/239.77.0.215:5146
广东少儿,http://116.18.36.59:8888/rtp/239.77.0.250:5146
嘉佳卡通,http://116.18.36.59:8888/rtp/239.77.0.179:5146
广州综合,http://116.18.36.59:8888/rtp/239.253.43.71:5146
广州新闻,http://116.18.36.59:8888/rtp/239.253.43.72:5146
广州影视,http://116.18.36.59:8888/rtp/239.253.43.73:5146
广州法治,http://116.18.36.59:8888/rtp/239.253.43.74:5146
深圳财经生活,http://116.18.36.59:8888/rtp/239.77.1.242:5146
深圳娱乐,http://116.18.36.59:8888/rtp/239.77.1.243:5146
深圳体育健康,http://116.18.36.59:8888/rtp/239.77.1.128:5146
深圳体育健康,http://116.18.36.59:8888/rtp/239.77.1.140:5146
深圳少儿,http://116.18.36.59:8888/rtp/239.77.1.244:5146
深圳宝安,http://116.18.36.59:8888/rtp/239.77.1.67:5146
深圳东部,http://116.18.36.59:8888/rtp/239.77.1.224:5146

广东卫视,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw2335730844_336951628/ott.mobaibox.com/PLTV/3/224/3221228566/index.m3u8?icpid=3&RTS=1674459760&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
广东卫视,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/wh7f454c46tw1749616194_1855037741/ott.mobaibox.com/PLTV/3/224/3221227249/index.m3u8?icpid=3&RTS=1674386160&from=40&popid=40&hms_devid=2036&prioritypopid=40&vqe=3
广东卫视,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/wh7f454c46tw200922983_1894712676/ott.mobaibox.com/PLTV/3/224/3221227591/index.m3u8?icpid=3&RTS=1674380316&from=40&popid=40&hms_devid=2036&prioritypopid=40&vqe=3
